0.03,-9.96,-0.78,1.28,1.05,-1.14
0.01,-9.80,-0.81,1.22,0.47,-1.04
0.05,-9.83,-0.77,1.29,0.60,-1.31
-0.02,-9.86,-0.78,1.29,0.55,-1.22
0.02,-9.80,-0.84,1.27,0.63,-1.24
-0.03,-9.94,-0.74,1.16,0.89,-1.22
0.13,-9.84,-0.63,1.16,0.56,-1.13
-0.02,-9.86,-0.91,1.14,0.40,-1.11
0.02,-9.81,-0.85,1.20,0.66,-1.13
-0.07,-9.80,-0.87,1.40,1.24,-1.28
-0.02,-9.82,-0.68,1.21,-0.50,-1.07
-0.15,-9.88,-0.75,1.27,-1.36,-1.17
-0.08,-9.82,-0.67,1.18,-2.88,-1.11
-0.07,-9.81,-0.13,0.87,-8.16,-1.24
-0.33,-9.67,0.15,0.24,-25.65,-0.85
-0.50,-9.77,0.07,-0.55,-45.87,-0.72
-0.59,-9.80,-0.27,-1.00,-59.41,-0.59
-0.42,-9.80,-0.90,-1.50,-67.39,-0.45
-0.32,-9.86,-1.27,-1.08,-61.74,-0.48
-0.23,-9.81,-1.08,-0.76,-54.85,-0.64
-0.20,-9.80,-1.12,-0.65,-52.84,-0.65
-0.23,-9.80,-0.81,-0.97,-51.21,-0.55
-0.26,-9.67,-0.81,-0.91,-51.58,-0.57
-0.27,-10.08,-0.94,1.77,-51.02,-0.47
-0.04,-9.71,-1.21,-0.73,-44.82,-0.76
-0.24,-9.84,-1.32,-0.40,-38.18,-0.75
0.04,-9.82,-1.15,1.94,-30.02,-1.08
0.03,-9.78,-0.82,0.22,-23.96,-0.95
-0.01,-9.83,-1.08,0.34,-19.92,-1.12
-0.04,-9.86,-0.56,0.22,-19.94,-0.98
-0.12,-9.84,-1.22,0.56,-17.59,-0.99
-0.03,-9.84,-0.85,0.86,-11.60,-1.24
-0.21,-9.77,-0.29,0.58,-15.15,-1.05
0.03,-9.84,-0.98,0.81,-16.88,-1.05
-0.09,-9.85,-0.85,0.79,-12.66,-1.00
0.15,-9.81,-0.82,0.76,-11.89,-0.98
-0.02,-9.84,-0.90,0.83,-12.52,-1.10
-1.81,-10.67,0.39,8.21,-14.10,-1.16
-0.09,-9.62,-0.13,1.80,5.59,-1.53
0.06,-9.80,-2.66,1.50,0.94,-1.19
-0.17,-9.94,-0.10,1.43,-1.85,-1.02
0.04,-9.84,-1.08,1.17,5.21,-1.25
-0.05,-9.86,-0.55,0.86,-0.62,-1.24
0.21,-9.79,-0.55,0.69,3.64,-1.33
-0.03,-9.87,-0.51,1.28,-1.46,-1.02
-0.10,-9.79,-0.89,1.21,3.00,-1.26
0.14,-9.87,-0.85,0.12,-1.73,-1.04
-0.01,-9.67,-0.61,1.29,1.63,-1.10
-0.06,-9.83,-1.18,1.47,0.37,-1.28
-0.08,-9.82,-0.45,0.97,-0.21,-1.47
0.07,-9.84,-1.03,1.11,2.16,-1.15
-0.05,-9.70,-0.59,1.29,-1.15,-1.01
0.04,-9.78,-0.71,1.14,2.26,-1.31
0.04,-9.79,-0.79,1.18,-0.86,-1.13
-0.04,-9.66,-0.63,1.27,1.11,-1.11
0.03,-9.82,-1.07,1.21,1.01,-0.99
-0.11,-9.81,-0.58,1.30,-0.25,-1.27
0.04,-9.84,-0.91,1.13,1.81,-1.27
0.10,-9.84,-0.83,1.39,-0.69,-1.37
-0.15,-9.84,-0.60,1.33,1.37,-1.11
